Nume,Adresa,Telefon,Website,Emailuri,Rating
Cabinet de Avocat Gunea Codrin,"Bulevardul General Gheorghe Magheru, nr. 31, et. 4, Birou 9, Piața Romană, 010325 București, Romania",0750 299 123,https://www.gunea.ro/,avocat@gunea.ro,5.0
Cabinet Individual de Avocat Soare Ioan-Alexandru,"Bulevardul Regina Elisabeta 7-9, Camera 14, 030016 București, Romania",0741 151 585,http://www.soalex.eu/,,5.0
Law Office Utiu Ioana,"Bulevardul Camil Ressu 4, 020885 București, Romania",0721 170 883,https://www.uua.ro/?utm_source=google_maps&utm_medium=organic&utm_campaign=profile_business,,4.9
Cabinet Avocat Velicu Daniel,"Strada Ienăchiță Văcărescu 48, 040157 București, Romania",0729 108 050,https://velicu.eu/,,4.9
CABINET DE AVOCAT & MEDIERE Cobrescu Andreea - avocatcobrescu.ro,"Calea 13 Septembrie 291A, Etj. 1, Sp. Com. Nr. 5, Interfon. 5, 050724 București, Romania",0731 177 119,http://www.avocatcobrescu.ro/,cabinet@avocatcobrescu.ro,5.0
Cabinet Avocat Dobrescu,"Strada Sirenelor 48-50, Bl. 1, Sc. B, Etaj 1, Ap. 24, 050855 București, Romania",0766 883 875,http://avocatdobrescu.ro/,office@avocatdobrescu.ro,4.8
"Buju, Stanciu & Asociații","Strada Belgrad 10, 011804 București, Romania",0744 368 368,https://bsa.ro/,office@bsa.ro,5.0
Cabinet Avocat Herghelegiu Bogdan,"Str. George Enescu. 27-29, Et. 1 Prim, 010303 București, Romania",0723 067 503,https://avocathb.ro/,office@avocathb.ro,5.0
Remis Mariana-Cabinet Avocat,"Strada Nerva Traian 19A, 031041 București, Romania",0755 967 016,https://remis.ro/,,5.0
Cabinet Avocat Cretu Oana-Roberta,"City Business Center, Strada Nerva Traian 3, et. 2, Biroul 4, 031041 București, Romania",0740 097 697,https://avocatcretu.ro/,"info@xtralawyer.com, contact@avocatcretu.roCopyright, oana@avocatcretu.ro, Emailoana@avocatcretu.ro, oana@avocatcretu.roAcasa",5.0
Varzaru Ion,"Strada Bibescu Vodă 1, 040034 București, Romania",0788 550 057,https://varzaru.ro/contact/,"57Emailoffice@varzaru.roSediuStrada, office@varzaru.ro",4.9
Ioan Trifan și Colaboratorii - Cabinet de Avocatură,"Regus Spaces, Bulevardul Corneliu Coposu 6-8, 030602 București, Romania",0757 608 926,https://www.avocatioantrifansicolaboratorii.ro/,,4.9
Sandu Ionuț-Cabinet de avocat,"apart. 7, Strada Poterași nr. 35, etaj 2, 040265 București, Romania",0768 414 883,http://www.avocationutsandu.ro/,sndionut1@gmail.com,5.0
Cabinet Avocat Surghe Alexandru,"Piața Valter Mărăcineanu 1, 010155 București, Romania",0762 298 968,http://www.savocat.ro/,alexandru@savocat.ro,5.0
"CABINET AVOCAT ""LIXANDRU ELENA""","Splaiul Independenței 2K, 137137 București, Romania",0722 210 782,https://avocatlixandruelena.ro/,,4.9
